"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","GPENSION","WOMEN","PC_PRERETEARN","A","2014",43.1,
"POL","GPENSION","WOMEN","PC_PRERETEARN","A","2018",22.5,
"POL","GPENSION","WOMEN","PC_PRERETEARN","A","2020",23.4,
"PRT","GPENSION","MEN","PC_PRERETEARN","A","2014",73.8,
"PRT","GPENSION","MEN","PC_PRERETEARN","A","2018",74.4,
"PRT","GPENSION","MEN","PC_PRERETEARN","A","2020",74.9,
"PRT","GPENSION","WOMEN","PC_PRERETEARN","A","2014",73.8,
"PRT","GPENSION","WOMEN","PC_PRERETEARN","A","2018",74.4,
"PRT","GPENSION","WOMEN","PC_PRERETEARN","A","2020",74.9,
"SVK","GPENSION","MEN","PC_PRERETEARN","A","2014",62.1,
"SVK","GPENSION","MEN","PC_PRERETEARN","A","2018",49.6,
"SVK","GPENSION","MEN","PC_PRERETEARN","A","2020",53.1,
"SVK","GPENSION","WOMEN","PC_PRERETEARN","A","2014",62.1,
"SVK","GPENSION","WOMEN","PC_PRERETEARN","A","2018",49.6,
"SVK","GPENSION","WOMEN","PC_PRERETEARN","A","2020",53.1,
"ESP","GPENSION","MEN","PC_PRERETEARN","A","2014",82.1,
"ESP","GPENSION","MEN","PC_PRERETEARN","A","2018",72.3,
"ESP","GPENSION","MEN","PC_PRERETEARN","A","2020",73.9,
"ESP","GPENSION","WOMEN","PC_PRERETEARN","A","2014",82.1,
"ESP","GPENSION","WOMEN","PC_PRERETEARN","A","2018",72.3,
"ESP","GPENSION","WOMEN","PC_PRERETEARN","A","2020",73.9,
"SWE","GPENSION","MEN","PC_PRERETEARN","A","2014",56,
"SWE","GPENSION","MEN","PC_PRERETEARN","A","2018",54.1,
"SWE","GPENSION","MEN","PC_PRERETEARN","A","2020",53.3,
"SWE","GPENSION","WOMEN","PC_PRERETEARN","A","2014",56,
"SWE","GPENSION","WOMEN","PC_PRERETEARN","A","2018",54.1,
"SWE","GPENSION","WOMEN","PC_PRERETEARN","A","2020",53.3,
"CHE","GPENSION","MEN","PC_PRERETEARN","A","2014",40.2,
"CHE","GPENSION","MEN","PC_PRERETEARN","A","2018",42.4,
"CHE","GPENSION","MEN","PC_PRERETEARN","A","2020",44.1,
"CHE","GPENSION","WOMEN","PC_PRERETEARN","A","2014",39.9,
"CHE","GPENSION","WOMEN","PC_PRERETEARN","A","2018",41.3,
"CHE","GPENSION","WOMEN","PC_PRERETEARN","A","2020",43.5,
"TUR","GPENSION","MEN","PC_PRERETEARN","A","2014",75.7,
"TUR","GPENSION","MEN","PC_PRERETEARN","A","2018",67.4,
"TUR","GPENSION","MEN","PC_PRERETEARN","A","2020",73.3,
"TUR","GPENSION","WOMEN","PC_PRERETEARN","A","2014",75.7,
"TUR","GPENSION","WOMEN","PC_PRERETEARN","A","2018",64.3,
"TUR","GPENSION","WOMEN","PC_PRERETEARN","A","2020",70.3,
"GBR","GPENSION","MEN","PC_PRERETEARN","A","2014",21.6,
"GBR","GPENSION","MEN","PC_PRERETEARN","A","2018",21.7,
"GBR","GPENSION","MEN","PC_PRERETEARN","A","2020",49,
"GBR","GPENSION","WOMEN","PC_PRERETEARN","A","2014",21.6,
"GBR","GPENSION","WOMEN","PC_PRERETEARN","A","2018",21.7,
"GBR","GPENSION","WOMEN","PC_PRERETEARN","A","2020",49,
"USA","GPENSION","MEN","PC_PRERETEARN","A","2014",35.2,
"USA","GPENSION","MEN","PC_PRERETEARN","A","2018",39.4,
"USA","GPENSION","MEN","PC_PRERETEARN","A","2020",39.2,
"USA","GPENSION","WOMEN","PC_PRERETEARN","A","2014",35.2,
"USA","GPENSION","WOMEN","PC_PRERETEARN","A","2018",39.4,
"USA","GPENSION","WOMEN","PC_PRERETEARN","A","2020",39.2,
"BGR","GPENSION","MEN","PC_PRERETEARN","A","2018",69.3,
"BGR","GPENSION","MEN","PC_PRERETEARN","A","2020",57.3,
"BGR","GPENSION","WOMEN","PC_PRERETEARN","A","2018",69.3,
"BGR","GPENSION","WOMEN","PC_PRERETEARN","A","2020",57.3,
"CHL","GPENSION","MEN","PC_PRERETEARN","A","2014",32.8,
"CHL","GPENSION","MEN","PC_PRERETEARN","A","2018",31.2,
"CHL","GPENSION","MEN","PC_PRERETEARN","A","2020",31.2,
"CHL","GPENSION","WOMEN","PC_PRERETEARN","A","2014",28.8,
"CHL","GPENSION","WOMEN","PC_PRERETEARN","A","2018",28.8,
"CHL","GPENSION","WOMEN","PC_PRERETEARN","A","2020",28.8,
"CYP","GPENSION","MEN","PC_PRERETEARN","A","2018",64.3,
"CYP","GPENSION","MEN","PC_PRERETEARN","A","2020",64.5,
"CYP","GPENSION","WOMEN","PC_PRERETEARN","A","2018",64.3,
"CYP","GPENSION","WOMEN","PC_PRERETEARN","A","2020",64.5,
"EST","GPENSION","MEN","PC_PRERETEARN","A","2014",50.5,
"EST","GPENSION","MEN","PC_PRERETEARN","A","2018",47.1,
"EST","GPENSION","MEN","PC_PRERETEARN","A","2020",28,
"EST","GPENSION","WOMEN","PC_PRERETEARN","A","2014",50.5,
"EST","GPENSION","WOMEN","PC_PRERETEARN","A","2018",47.1,
"EST","GPENSION","WOMEN","PC_PRERETEARN","A","2020",28,
"ISR","GPENSION","MEN","PC_PRERETEARN","A","2014",61,
"ISR","GPENSION","MEN","PC_PRERETEARN","A","2018",50.1,
"ISR","GPENSION","MEN","PC_PRERETEARN","A","2020",41.5,
"ISR","GPENSION","WOMEN","PC_PRERETEARN","A","2014",54.1,
"ISR","GPENSION","WOMEN","PC_PRERETEARN","A","2018",41.8,
"ISR","GPENSION","WOMEN","PC_PRERETEARN","A","2020",34.1,
"LVA","GPENSION","MEN","PC_PRERETEARN","A","2018",44.6,
"LVA","GPENSION","MEN","PC_PRERETEARN","A","2020",43.4,
"LVA","GPENSION","WOMEN","PC_PRERETEARN","A","2018",44.6,
"LVA","GPENSION","WOMEN","PC_PRERETEARN","A","2020",43.4,
